size,sc,split,scale_idx,scale_value,allowed_n,effective_vocab,dead_fraction,perplexity,entropy_bits,top1_share,n_tokens,residual_energy,geom_eff_dim,geom_mean_cos_dist
medium,sc1941,val,4,16,1747,1277,0.2690326273611906,414.49699501257015,8.695217832397613,0.006916015625,512000,4128.45703125,4.592371463775635,0.9907894134521484
medium,sc1941,val,5,24,2396,2314,0.03422370617696158,1163.894228160854,10.184744240295407,0.002134548611111111,1152000,3868.81689453125,4.592371463775635,0.9907894134521484
medium,sc1941,val,6,32,2382,2322,0.02518891687657432,2199.3052420884405,11.102832134733202,0.00077880859375,2048000,7320.29248046875,4.592371463775635,0.9907894134521484
large,sc341,train,0,1,1,1,0.0,1.0,-0.0,1.0,30000,2062.787109375,1.8118629455566406,0.9908740520477295
large,sc341,train,1,2,20,20,0.0,6.3248307942355755,2.6610268844579332,0.2779083333333333,120000,2124.42041015625,1.8118629455566406,0.9908740520477295
large,sc341,train,2,4,152,152,0.0,54.98538379812299,5.780976267627386,0.03865416666666667,480000,4576.0966796875,1.8118629455566406,0.9908740520477295
large,sc341,train,3,8,1111,1111,0.0,459.8901358336302,8.845145443512308,0.0052421875,1920000,26482.859375,1.8118629455566406,0.9908740520477295
large,sc341,train,4,16,2038,2038,0.0,1956.5703474371658,10.934111267159526,0.000801953125,7680000,108235.109375,1.8118629455566406,0.9908740520477295
large,sc341,val,0,1,1,1,0.0,1.0,-0.0,1.0,2000,2062.787109375,1.8118629455566406,0.9908740520477295
large,sc341,val,1,2,20,16,0.19999999999999996,7.020319834120642,2.8115367588188334,0.259875,8000,2124.42041015625,1.8118629455566406,0.9908740520477295
large,sc341,val,2,4,152,115,0.24342105263157898,56.91713297630027,5.830791087302582,0.0370625,32000,4576.0966796875,1.8118629455566406,0.9908740520477295
large,sc341,val,3,8,1111,829,0.2538253825382538,440.4884094920148,8.782960247993318,0.005484375,128000,26482.859375,1.8118629455566406,0.9908740520477295
large,sc341,val,4,16,2038,2038,0.0,1949.3217813041495,10.92875654558802,0.00085546875,512000,108235.109375,1.8118629455566406,0.9908740520477295
large,sc917,train,0,1,1,1,0.0,1.0,-0.0,1.0,30000,2563.89697265625,3.007424831390381,0.9912203550338745
large,sc917,train,1,2,9,9,0.0,2.3345711682744064,1.2231575691119305,0.5396666666666666,120000,883.4172973632812,3.007424831390381,0.9912203550338745
large,sc917,train,2,4,43,43,0.0,15.838000691383957,3.9853183233179257,0.12314375,480000,1705.6241455078125,3.007424831390381,0.9912203550338745
large,sc917,train,3,8,514,514,0.0,79.17980274404013,6.307060568159015,0.028833854166666666,1920000,5997.39990234375,3.007424831390381,0.9912203550338745
large,sc917,train,4,16,1498,1498,0.0,850.423110197212,9.732036992327995,0.0031264322916666667,7680000,13872.3525390625,3.007424831390381,0.9912203550338745
large,sc917,train,5,24,1520,1520,0.0,1461.828168977039,10.51355802390466,0.001033275462962963,17280000,15253.36328125,3.007424831390381,0.9912203550338745
large,sc917,val,0,1,1,1,0.0,1.0,-0.0,1.0,2000,2563.89697265625,3.007424831390381,0.9912203550338745
large,sc917,val,1,2,9,8,0.11111111111111116,2.687025993732378,1.4260102777513048,0.505,8000,883.4172973632812,3.007424831390381,0.9912203550338745
large,sc917,val,2,4,43,38,0.11627906976744184,16.76100615970584,4.067036851206728,0.1115,32000,1705.6241455078125,3.007424831390381,0.9912203550338745
large,sc917,val,3,8,514,387,0.24708171206225682,78.83730188817124,6.300806497611185,0.028484375,128000,5997.39990234375,3.007424831390381,0.9912203550338745
