run,step,loss
small-sc341-nsp-small,1855,3.239800453186035
small-sc341-nsp-small,1857,3.199850559234619
small-sc341-nsp-small,1860,3.1542904376983643
small-sc341-nsp-small,1875,3.216374397277832
small-sc341-nsp-small,1876,3.1890199184417725
small-sc341-nsp-small,1878,3.1887166500091553
small-sc341-nsp-small,1887,3.161044120788574
small-sc341-nsp-small,1889,3.2690188884735107
small-sc341-nsp-small,1892,3.220210552215576
small-sc341-nsp-small,1896,3.2324624061584473
small-sc341-nsp-small,1906,3.1973891258239746
small-sc341-nsp-small,1908,3.1835453510284424
small-sc341-nsp-small,1929,3.1392030715942383
small-sc341-nsp-small,1931,3.1543214321136475
small-sc341-nsp-small,1932,3.2145426273345947
small-sc341-nsp-small,1939,3.2529680728912354
small-sc341-nsp-small,1941,3.1873602867126465
small-sc341-nsp-small,1948,3.3158769607543945
small-sc341-nsp-small,1956,3.218658685684204
small-sc341-nsp-small,1961,3.206063747406006
small-sc341-nsp-small,1967,3.1831376552581787
small-sc341-nsp-small,1975,3.0591893196105957
small-sc341-nsp-small,1986,3.1847798824310303
small-sc341-nsp-small,1987,3.073995590209961
small-sc341-nsp-small,1988,3.2047791481018066
small-sc341-nsp-small,1989,3.1359915733337402
small-sc341-nsp-small,1992,3.117130756378174
small-sc341-nsp-small,2001,3.1520607471466064
small-sc341-nsp-small,2004,3.188058853149414
small-sc341-nsp-small,2007,3.231351852416992
small-sc341-nsp-small,2008,3.1338086128234863
small-sc341-nsp-small,2012,3.1084835529327393
small-sc341-nsp-small,2013,3.070857524871826
small-sc341-nsp-small,2019,3.1930837631225586
small-sc341-nsp-small,2021,3.0254251956939697
small-sc341-nsp-small,2025,3.1806743144989014
small-sc341-nsp-small,2026,3.17425537109375
small-sc341-nsp-small,2031,3.1970157623291016
small-sc341-nsp-small,2036,3.2002053260803223
small-sc341-nsp-small,2040,3.116663932800293
small-sc341-nsp-small,2047,3.111029863357544
small-sc341-nsp-small,2052,3.1491639614105225
small-sc341-nsp-small,2054,3.219977855682373
small-sc341-nsp-small,2057,3.1757383346557617
small-sc341-nsp-small,2061,3.117271661758423
small-sc341-nsp-small,2063,3.032032012939453
small-sc341-nsp-small,2072,3.1346476078033447
small-sc341-nsp-small,2080,3.064899206161499
