size,sc,arch,params_M,horizon,best_T,n_T,emd_nsp,emd_vqvae,tke_rse
small,sc917,s22,22.0,2,0.8,7,0.12980159777060662,0.11640186482455114,0.680643568957791
small,sc917,s34,34.0,2,0.8,7,0.12769383928851355,0.11640446754769516,0.6763985849265689
small,sc917,s50,50.0,2,0.8,7,0.11856667839241725,0.11640223721294012,0.6654262066265454
small,sc917,s74,74.0,2,0.8,7,0.1290600473082787,0.11640446754769516,0.6736138021753543
large,sc1941,s113,113.0,5,1.0,7,0.080667889670588,0.06562845255136962,0.5678460105752314
large,sc1941,s139,139.0,5,1.0,7,0.08489345132279857,0.06562854533248495,0.6049257194888844
large,sc1941,s31,31.0,5,1.0,7,0.09103009226427512,0.06562854533248495,0.653077215988158
large,sc1941,s48,48.0,5,1.0,7,0.07775809814126135,0.06562893298244203,0.5749901402577966
large,sc1941,s73,73.0,5,1.2,7,0.09566955918183084,0.06562900918261808,0.624628033383624
large,sc341,s06,6.0,5,0.7,6,0.23005176232045704,0.2313295077557368,0.7503395486614405
large,sc341,s09,9.0,5,0.9,6,0.2760262892754003,0.2313295077557368,0.7616204993700313
large,sc341,s13,13.0,5,0.8,6,0.22572536369689927,0.2313295077557368,0.747508668539513
large,sc341,s18,18.0,5,1.0,6,0.2281326757343597,0.2313295077557368,0.7481207477577019
large,sc341,s24,24.0,5,0.7,6,0.22634040634875097,0.2313295077557368,0.7470889507433719
large,sc917,s13,13.0,5,0.8,7,0.13908591617383995,0.1259886886062306,0.7054648104540082
large,sc917,s22,22.0,5,0.8,7,0.12504625811903647,0.1259881785032927,0.6964290816213815
large,sc917,s34,34.0,5,0.8,7,0.12579097410247295,0.1259885538478429,0.6953937158377751
large,sc917,s50,50.0,5,0.8,7,0.1246869327929318,0.1259885538478429,0.6899465780054587
large,sc917,s74,74.0,5,0.8,7,0.12714069231177402,0.12598904720166051,0.6924582067227099
medium,sc1941,s113,113.0,5,1.0,7,0.08174477866226526,0.06186107429686561,0.5754466551835894
medium,sc1941,s139,139.0,5,1.0,7,0.08900708202088711,0.06186179245346784,0.6127402136339128
medium,sc1941,s31,31.0,5,1.0,7,0.11047937726665008,0.06186179245346784,0.6348118656717002
medium,sc1941,s48,48.0,5,1.0,7,0.08387533580817744,0.06186107429686561,0.6045162209948491
medium,sc1941,s73,73.0,5,1.0,7,0.07975760915669791,0.06186179245346784,0.5969519788686292
medium,sc341,s06,6.0,5,0.7,6,0.23897367314426027,0.2355203272648379,0.7657046959822853
medium,sc341,s09,9.0,5,0.7,6,0.2597497346974072,0.2355193812799536,0.7730072820396585
medium,sc341,s13,13.0,5,0.8,6,0.2362004510590386,0.2355193812799536,0.7646700789384581
medium,sc341,s18,18.0,5,0.7,6,0.23763881586403385,0.2355193812799536,0.762501102019312
medium,sc341,s24,24.0,5,0.9,6,0.23718613634931013,0.2355193812799536,0.7633819983902993
medium,sc917,s13,13.0,5,0.8,7,0.14062803369981142,0.12344982984502063,0.7131606288595219
medium,sc917,s22,22.0,5,0.8,7,0.13684459006741,0.12345002108314548,0.696888733434391
medium,sc917,s34,34.0,5,0.8,7,0.13793031518175086,0.12344655616492133,0.703474541333563
medium,sc917,s50,50.0,5,0.8,7,0.13534062432773047,0.12344982984502063,0.6969624743472868
medium,sc917,s74,74.0,5,0.8,7,0.13511688181249054,0.12344730466566144,0.7004285981162383
small,sc1941,s113,113.0,5,1.0,7,0.08730944561789562,0.08643042262576142,0.5672300904794212
small,sc1941,s139,139.0,5,1.0,7,0.08701422312407003,0.08643334001809352,0.5608159598133703
small,sc1941,s31,31.0,5,1.0,7,0.11061878568827084,0.08643433074955263,0.6364572467805727
small,sc1941,s48,48.0,5,1.0,7,0.07905657168295138,0.08643288346297845,0.586313404660402
small,sc1941,s73,73.0,5,1.0,7,0.08611605622888541,0.08643288346297845,0.5732848836827429
small,sc341,s06,6.0,5,1.2,6,0.38928984253868426,0.40386022856393256,0.8293235218108667
small,sc341,s09,9.0,5,0.7,6,0.4138278978237508,0.40386410373983433,0.8107073650806907
small,sc341,s13,13.0,5,1.2,6,0.4046051516241494,0.40386410373983433,0.8145717949035736
small,sc341,s18,18.0,5,0.7,6,0.4011020214061696,0.40386410373983433,0.8046149441363443
small,sc341,s24,24.0,5,1.1,6,0.3993557501423795,0.40386410373983433,0.808008289683478
small,sc917,s13,13.0,5,0.8,7,0.1304348893053076,0.11640446754769516,0.7172930210541026
small,sc917,s22,22.0,5,0.8,7,0.1182729943291954,0.11640186482455114,0.703840565787026
small,sc917,s34,34.0,5,0.8,7,0.1184120176936984,0.11640446754769516,0.6985092006806667
small,sc917,s50,50.0,5,0.8,7,0.11153188918686664,0.11640223721294012,0.6818498749066614
small,sc917,s74,74.0,5,0.8,7,0.1321089221613705,0.11640446754769516,0.6992713811658942
large,sc1941,s113,113.0,10,1.0,7,0.11043884188695607,0.06562845255136962,0.6058616733240781
large,sc1941,s139,139.0,10,1.0,7,0.11827660844982785,0.06562854533248495,0.6608008638314891
large,sc1941,s31,31.0,10,1.0,7,0.09437251011544737,0.06562854533248495,0.6934763814939703
large,sc1941,s48,48.0,10,1.0,7,0.08461969541134773,0.06562893298244203,0.6024044943855168
large,sc1941,s73,73.0,10,1.0,7,0.11812888380067782,0.0656281508733966,0.6470134081956732
large,sc341,s06,6.0,10,0.7,6,0.24183857620508775,0.2313295077557368,0.7556868103254613
large,sc341,s09,9.0,10,1.2,6,0.2680076402033044,0.23133269747047583,0.7705326713839437
large,sc341,s13,13.0,10,0.8,6,0.21972341720697927,0.2313295077557368,0.7500508133735736
large,sc341,s18,18.0,10,1.2,6,0.21881895306654653,0.2313295077557368,0.7546394533284303
large,sc341,s24,24.0,10,0.7,6,0.22829924932105572,0.2313295077557368,0.7497850216769224
large,sc917,s13,13.0,10,0.8,7,0.13606148720375633,0.1259886886062306,0.720440770893356
large,sc917,s22,22.0,10,0.8,7,0.11397425663838898,0.1259881785032927,0.7072026121288612
large,sc917,s34,34.0,10,0.8,7,0.12326243719595573,0.1259885538478429,0.7052330185122885
large,sc917,s50,50.0,10,0.8,7,0.1217933165951352,0.1259885538478429,0.7026903411526202
large,sc917,s74,74.0,10,0.8,7,0.12634119394326018,0.12598904720166051,0.7095608737121597
medium,sc1941,s113,113.0,10,1.0,7,0.11120627210612592,0.06186107429686561,0.6071447228634568
medium,sc1941,s139,139.0,10,1.0,7,0.13536461323846402,0.06186179245346784,0.6695705324268894
medium,sc1941,s31,31.0,10,1.0,7,0.1359895147746224,0.06186179245346784,0.6753934881047887
medium,sc1941,s48,48.0,10,1.0,7,0.09205315476813077,0.06186107429686561,0.6361788319889609
medium,sc1941,s73,73.0,10,1.0,7,0.10670873847844072,0.06186179245346784,0.6325448608225787
medium,sc341,s06,6.0,10,0.8,6,0.24616152047795783,0.2355193812799536,0.7742162660421475
medium,sc341,s09,9.0,10,0.7,6,0.2786398321823086,0.2355193812799536,0.7761877106671037
medium,sc341,s13,13.0,10,0.8,6,0.2383852450440936,0.2355193812799536,0.768640506764155
medium,sc341,s18,18.0,10,1.1,6,0.23954664141694804,0.2355193812799536,0.7753701873254214
medium,sc341,s24,24.0,10,1.0,6,0.24011378498576652,0.2355193812799536,0.7703320709599352
medium,sc917,s13,13.0,10,0.8,7,0.13718568676515952,0.12344982984502063,0.7303501364831853
medium,sc917,s22,22.0,10,0.8,7,0.1358733486238718,0.12345002108314548,0.7103047485816089
medium,sc917,s34,34.0,10,0.8,7,0.12923264806131446,0.12344655616492133,0.7162177426088772
medium,sc917,s50,50.0,10,0.8,7,0.12940557224909222,0.12344982984502063,0.7134293221851208
medium,sc917,s74,74.0,10,0.8,7,0.14384516310224585,0.12344730466566144,0.7215988431523711
small,sc1941,s113,113.0,10,1.0,7,0.10219118133697744,0.08643042262576142,0.5858997232510557
small,sc1941,s139,139.0,10,1.0,7,0.09391088615958389,0.08643334001809352,0.5758401681873765
small,sc1941,s31,31.0,10,1.0,7,0.12647504568754692,0.08643433074955263,0.669723950108698
small,sc1941,s48,48.0,10,1.0,7,0.09127784372318525,0.08643288346297845,0.6060126770384076
small,sc1941,s73,73.0,10,1.0,7,0.09379785668355033,0.08643288346297845,0.5891107392063185
small,sc341,s06,6.0,10,1.2,6,0.34959294759894083,0.40386022856393256,0.845581002585765
small,sc341,s09,9.0,10,0.7,6,0.4174159367673841,0.40386410373983433,0.8168003592037235
small,sc341,s13,13.0,10,1.2,6,0.38525581617895904,0.40386410373983433,0.8274580144860787
small,sc341,s18,18.0,10,1.1,6,0.3775532614592863,0.40386410373983433,0.8192934564665787
small,sc341,s24,24.0,10,1.2,6,0.3881660072550904,0.40386410373983433,0.8186498809993223
small,sc917,s13,13.0,10,0.8,7,0.12814043246578977,0.11640446754769516,0.7372078802230555
small,sc917,s22,22.0,10,0.8,7,0.12052414088993887,0.11640186482455114,0.7206435148667987
small,sc917,s34,34.0,10,0.8,7,0.10325038505810222,0.11640446754769516,0.7146449016500525
small,sc917,s50,50.0,10,0.8,7,0.1026311434639868,0.11640223721294012,0.6977529524580276
small,sc917,s74,74.0,10,0.8,7,0.12905959748618587,0.11640446754769516,0.7226255354701584
